# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2018-12-18T16:52:55Z
# station: Sonnblick
# abbr: SON
# country_code: AT
# longitude: 12.9580
# latitude: 47.0540
# height: 3105.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1881;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1882;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1883;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1884;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1885;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1886;999999;999999;999999;999999;999999;999999;999999;999999;999999;-27;-81;-124;999999;999999;999999;-136;999999;-104;999999
1887;-126;-157;-108;-98;-68;-21;29;6;-14;-90;-91;-155;-91;5;-65;-152;-28;-128;-74
1888;-147;-155;-131;-95;-43;-5;-9;1;-1;-63;-74;-91;-90;-4;-46;-133;-25;-113;-68
1889;-135;-174;-144;-102;-13;7;2;4;-40;-48;-79;-129;-86;4;-56;-131;-24;-106;-71
1890;-106;-157;-116;-92;-33;-29;4;22;-31;-70;-107;-141;-80;-1;-69;-147;-26;-123;-71
1891;-164;-135;-121;-115;-31;-13;4;5;5;-35;-92;-114;-89;-1;-41;-128;-24;-108;-67
1892;-135;-136;-138;-73;-39;-9;4;28;-1;-54;-72;-136;-83;8;-42;-149;-15;-116;-63
1893;-175;-135;-124;-67;-55;-19;11;11;-8;-34;-95;-108;-82;1;-46;-121;-21;-101;-66
1894;-124;-131;-117;-64;-37;-30;23;9;-20;-54;-67;-137;-73;1;-47;-164;-20;-124;-62
1895;-172;-184;-130;-70;-52;-7;23;10;17;-54;-54;-127;-84;9;-30;-118;-13;-94;-67
1896;-126;-101;-103;-121;-66;-9;16;-9;-18;-42;-102;-114;-97;-1;-54;-118;-34;-101;-66
1897;-137;-104;-109;-83;-65;-3;14;17;-8;-60;-73;-104;-86;9;-47;-111;-21;-96;-60
1898;-79;-149;-111;-74;-46;-16;-7;23;1;-27;-57;-105;-77;0;-28;-106;-20;-87;-54
1899;-109;-104;-118;-89;-54;-21;4;12;-21;-27;-66;-131;-87;-2;-38;-123;-28;-102;-60
1900;-128;-110;-149;-106;-43;-7;26;0;12;-39;-77;-84;-99;6;-35;-133;-20;-108;-59
1901;-140;-176;-134;-85;-43;-6;11;9;-6;-50;-96;-117;-87;5;-51;-114;-20;-103;-69
1902;-115;-111;-127;-58;-87;-25;12;8;-2;-56;-78;-119;-91;-2;-45;-111;-25;-96;-63
1903;-112;-103;-109;-127;-46;-20;-1;20;1;-41;-91;-114;-94;0;-44;-123;-29;-101;-62
1904;-122;-132;-105;-70;-30;4;29;17;-34;-54;-103;-105;-68;17;-64;-138;-14;-113;-59
1905;-165;-144;-110;-96;-40;0;36;17;3;-106;-93;-98;-82;18;-65;-123;-13;-115;-66
1906;-128;-144;-121;-86;-34;-16;19;19;-28;-19;-66;-162;-80;7;-38;-155;-21;-117;-64
1907;-152;-150;-153;-102;-29;-4;-9;19;3;-24;-85;-119;-95;2;-35;-130;-20;-108;-67
1908;-119;-151;-149;-116;-24;3;5;-3;-25;-35;-100;-125;-96;2;-53;-152;-27;-122;-70
1909;-150;-181;-144;-86;-50;-21;-3;11;-19;-39;-117;-111;-93;-4;-58;-124;-28;-107;-76
1910;-135;-127;-115;-90;-52;-6;-8;6;-37;-39;-126;-103;-86;-3;-67;-126;-31;-110;-69
1911;-134;-141;-118;-94;-42;-17;24;22;3;-39;-65;-108;-85;10;-34;-111;-17;-90;-59
1912;-120;-105;-103;-114;-41;-9;9;-11;-69;-54;-130;-80;-86;-4;-84;-112;-39;-101;-69
1913;-119;-138;-87;-94;-48;-13;-27;-7;-23;-23;-71;-129;-76;-16;-39;-112;-35;-91;-65
1914;-130;-77;-116;-69;-52;-25;-5;17;-29;-62;-100;-101;-79;-4;-64;-133;-27;-115;-62
1915;-155;-142;-128;-94;-15;6;5;-9;-32;-77;-119;-91;-79;1;-76;-108;-23;-102;-71
1916;-100;-134;-93;-87;-36;-22;1;1;-31;-50;-82;-107;-72;-7;-54;-129;-29;-110;-62
1917;-145;-135;-140;-122;-17;9;9;15;13;-64;-85;-144;-93;11;-45;-121;-15;-105;-67
1918;-107;-112;-116;-67;-39;-39;4;0;9;-65;-102;-99;-74;-12;-53;-119;-22;-107;-61
1919;-121;-136;-121;-107;-79;-12;-18;21;3;-91;-113;-123;-102;-3;-67;-109;-32;-102;-75
1920;-107;-96;-82;-67;-8;-13;21;-1;-11;-35;-66;-94;-52;2;-37;-109;-13;-87;-47
1921;-101;-133;-95;-99;-23;-21;28;24;6;-14;-101;-111;-72;10;-36;-127;-14;-99;-53
1922;-148;-121;-97;-94;-35;-3;9;26;-27;-61;-119;-118;-75;11;-69;-128;-21;-112;-66
1923;-140;-125;-112;-84;-34;-43;26;25;-19;-26;-78;-146;-77;3;-41;-148;-21;-112;-63
1924;-145;-153;-122;-85;-23;-9;14;-10;-2;-36;-74;-83;-77;-2;-37;-97;-19;-92;-61
1925;-89;-119;-151;-80;-38;-14;8;10;-39;-35;-90;-126;-90;1;-55;-117;-25;-98;-64
1926;-137;-89;-111;-71;-57;-32;4;13;9;-35;-59;-124;-80;-5;-28;-128;-22;-97;-57
1927;-126;-135;-104;-84;-40;1;16;16;-7;-35;-72;-112;-76;11;-38;-113;-16;-93;-57
1928;-112;-116;-111;-77;-69;-11;43;33;-9;-44;-86;-132;-86;22;-46;-149;-15;-114;-58
1929;-156;-160;-109;-111;-30;2;22;27;5;-44;-78;-110;-83;17;-39;-111;-14;-92;-62
1930;-89;-134;-99;-76;-48;18;7;14;-8;-46;-69;-112;-74;13;-41;-134;-15;-107;-53
1931;-139;-152;-127;-99;-23;20;18;6;-57;-51;-65;-124;-83;15;-58;-123;-22;-103;-66
1932;-81;-165;-134;-101;-40;-20;22;39;28;-51;-68;-80;-92;14;-30;-121;-12;-98;-54
1933;-144;-139;-104;-91;-63;-35;15;15;-10;-45;-93;-132;-86;-2;-49;-125;-28;-103;-69
1934;-125;-119;-104;-59;-25;-15;16;9;6;-42;-83;-82;-63;3;-40;-128;-11;-107;-52
1935;-167;-134;-136;-95;-52;16;17;9;0;-35;-75;-132;-94;14;-37;-122;-17;-95;-65
1936;-104;-129;-98;-78;-29;-9;20;10;-12;-88;-75;-98;-68;7;-58;-110;-16;-101;-57
1937;-109;-123;-113;-89;-28;9;16;6;-13;-39;-98;-143;-77;10;-50;-138;-16;-107;-60
1938;-144;-128;-90;-132;-55;16;15;16;-11;-30;-45;-123;-92;16;-29;-111;-25;-94;-59
1939;-114;-96;-159;-59;-57;1;13;13;-12;-58;-70;-131;-92;9;-47;-132;-17;-108;-61
